Unnamed: 0,word1,word2,class
988,xagXa,uxarasya,1
989,binxu,upamAH,1
990,woya,XAriNe,3
991,saM,mawwAH,3
992,nir,apekRaH,1
993,naRta,inxriyasya,1
994,mUDa,grAheNa,3
995,puNya,karmANaH,1
996,a,vyasanI,3
997,vipra,XarmaH,3
998,prApwa,avakASA,1
999,newra,hInaH,3
1000,RodaSa,guNaM,3
1001,sa,roRaM,1
1002,rakRas,aXaH,3
1003,aBi,sawkqwaH,3
1004,xakRiNa,ayanam,3
1005,lelihaw,vakwraM,1
1006,wrayI,mUrwwi,3
1007,pariNAma,muKI,1
1008,uwwama,wejasaH,1
1009,karpUra,xvIpaH,3
1010,sa,avaSeRam,1
1011,cakra,AyuXaH,1
1012,Svewa,veRtanAH,1
1013,waw,pApaM,3
1014,Rat,paxEH,1
1015,sa,saMBramam,1
1016,Arjana,Axi,1
1017,janArxana,sahAyasya,1
1018,sapwa,xaSaM,1
1019,na,uwwareNa,3
1020,su,puRpiwaH,3
1021,pari,vqwA,3
1022,a,suKA,1
1023,sa,kalAH,1
1024,kqRNa,mawiH,1
1025,sva,mahimAnam,3
1026,na,sahAyAn,1
1027,Enxra,agnena,3
1028,Xarma,Awmani,3
1029,sa,xArasya,1
1030,kArwwajFya,mana,3
1031,sa,aFjaliH,1
1032,kalyANakataka,vAswavyaH,1
1033,ni,rguNe,0
1034,a,safGAwavanwam,3
1035,praSama,kAraNam,3
1036,saw,guNAH,3
1037,nAnA,praharaNEH,3
1038,smiwa,maXurAm,2
1039,kqwa,aXIwi,1
1040,Xarma,SIlasya,1
1041,Sruwi,paWe,3
1042,xakRiNa,xiSi,3
1043,Bagavaw,puram,3
1044,xAna,vIraH,3
1045,na,uwwamAm,1
1046,su,parIkRiwEH,3
1047,baxZXa,aFjaliM,1
1048,nir,vqwwaH,3
1049,sawya,saMkalpaH,1
1050,alpa,meXasaH,1
1051,vacana,Bafgam,3
1052,Siva,puwraH,3
1053,na,icCanwi,3
1054,kAla,yukwena,3
1055,sva,BAvaH,3
1056,japa,yajFAH,1
1057,sa,anukampam,1
1058,paripakva,buxZXiH,1
1059,su,xurlaBO,3
1060,sa,wikwaM,1
1061,bqhaw,kUlA,1
1062,jAwa,sAXvasaH,1
1063,eka,xoRAH,1
1064,xamBa,nAmakaH,1
1065,sa,qRaBakaM,1
1066,katu,vyavahAram,3
1067,sarpa,bile,3
1068,Akula,inxriyaH,1
1069,prawi,SoXe,3
1070,karpUra,niryAsaH,3
1071,pawi,prANA,1
1072,pra,vahanwI,3
1073,xAna,apamAnam,2
1074,jiwa,inxriye,1
1075,vigawa,klamaH,1
1076,puNya,apuNye,2
1077,na,alpa,3
1078,nis,pqkwaH,3
1079,na,jarA,1
1080,Soka,prakASakAnAm,3
1081,amuka,jAwIyAH,3
1082,lABa,anviwaH,3
1083,pArawanwrya,vaSIkaraNam,3
1084,a,saMbuxXaM,3
1085,kA,gawIn,1
1086,cawur,muKasya,1
1087,nara,piSAcasya,3
1088,na,yogyAH,3
1089,Awapa,sanwApena,3
1090,maXya,vayaskasya,1
1091,svalpa,xoRI,1
1092,kaMkaNa,xvayam,3
1093,vyuwkrAnwa,samayaH,1
1094,Binna,SliRtAH,2
1095,sa,xAreNa,1
1096,pATaka,mahABAgEH,3
1097,xur,buxXe,1
1098,xvaya,ASrayANAM,1
1099,bANa,saFcAlanam,3
1100,vi,rakwaH,1
1101,naxI,AxInAm,1
1102,su,vicakRaNaH,3
1103,pAWin,AvAsam,3
1104,arWa,yukwAni,3
1105,wulya,vayAH,1
1106,saM,smqwya,3
1107,kaniRTa,AxO,1
1108,urXva,jAnuH,1
1109,prAcIna,paramparAsu,3
1110,an,asUyawA,1
1111,aRtASIwi,sahasrANi,3
1112,anna,mAwram,3
1113,prawi,SvAsaM,0
1114,nir,manwraH,1
1115,nis,wrEguNyaH,1
1116,wri,skanXam,1
1117,Axiwya,gawaM,3
1118,xvi,wrEH,1
1119,vi,mugXAH,3
1120,agni,kaNAH,3
1121,awyanwa,mohiwam,3
1122,sva,karma,3
1123,nir,Xane,1
1124,Sara,Asanam,1
1125,a,rAjA,3
1126,gaja,GaNtA,3
1127,an,uwwamAm,1
1128,sa,pawnIkaH,1
1129,vi,hiwAM,3
1130,samaswa,saMsAre,3
1131,nir,gamanasya,3
1132,yaWA,Ipsiwam,0
1133,kqwa,prajFAs,1
1134,kqwa,buxXiH,1
1135,BIma,nAxaH,1
1136,sa,pakRiNaH,1
1137,Bavaw,AxInAm,1
1138,na,kiFciwkaram,3
1139,nir,balO,1
1140,Siva,XanuH,3
1141,viwIrNa,sarvasvaH,1
1142,sawya,karmANaM,1
1143,pra,kupiwaH,3
1144,rAjan,puwrAH,3
1145,nis,sahAyaH,0
1146,Asanna,maraNaH,1
1147,baxXa,aFjalinA,1
1148,sa,vawsAnAM,1
1149,vaswu,samUhaH,3
1150,sa,XarmAH,1
1151,koti,pawiH,3
1152,kusuma,sukumAram,3
1153,uFCa,vqwwaye,1
1154,miwra,amiwrAn,2
1155,na,sevakAn,3
1156,caraNa,XUliM,3
1157,rAja,niveSanam,3
1158,viSva,rUpaH,1
1159,brahman,gIwAH,3
1160,a,kalmaRam,1
1161,praWiwa,AwmaBiH,1
1162,lakRya,hInaH,3
1163,vAk,patuwA,3
1164,upa,grahaH,0
1165,canxra,muKI,1
1166,kambu,grIvaH,1
1167,grAma,kAmaM,1
1168,uwwara,anwAH,1
1169,yuvan,rAjam,3
1170,prAwar,kAlaH,3
1171,yoga,yajFAH,1
1172,uxAra,arWam,1
1173,upawiRTa,mAnAH,1
1174,xqDa,BakwiH,1
1175,su,UrmIM,3
1176,uRNa,svaBAvAnAM,1
1177,kifkarwavyawA,mUDaH,3
1178,ciwragrIva,upAKyAnam,3
1179,AScarya,cakiwa,3
1180,xeva,AxeH,1
1181,aXyAwma,mArgI,3
1182,nis,kAraNAm,3
1183,nAnA,rUpANi,1
1184,nava,xarSanaH,1
1185,bali,praBqwiBiH,1
1186,vefkateSa,nAmnA,1
1187,karma,banXanaH,1
1188,ni,yanwA,3
1189,yaWA,rUpaM,0
1190,saM,SleRaM,3
1191,janana,AxIn,1
1192,xivya,svarUpaH,1
1193,anyawara,grahaH,1
1194,sva,mahiRyAm,3
1195,snigXa,BAvAw,1
1196,bala,viprakqwAH,3
1197,an,iwvaram,3
1198,upAya,sAXyAH,3
1199,xur,brAhmaNa,3
1200,woraNa,anwAH,1
1201,anila,AxInAM,1
1202,xqRti,loBanAya,3
1203,mahaw,yaSaH,1
1204,nis,saMkocam,1
1205,sarva,varNAH,3
1206,kAmala,AxIn,1
1207,mahAn,raWAH,1
1208,kqwa,kqwyA,1
1209,saH,upamAH,1
1210,kaMsa,AxeH,1
1211,xqRti,pAwena,3
1212,vasanwa,qwO,3
1213,rAjahaMsa,samaH,3
1214,varwaka,kAraNAw,3
1215,UrXva,xarSanaH,1
1216,SaraBa,sWAne,3
1217,cawur,aByaXikam,1
1218,yawa,vrawaH,1
1219,xoRa,uxare,3
1220,BAva,samanviwAH,3
1221,vqRNi,yoXAH,3
1222,niR,parigrahaH,1
1223,hIna,arWAH,1
1224,sva,vicAriwaM,3
1225,hawa,siMham,1
1226,ISa,anwAH,1
1227,wakra,sixXaH,3
1228,sAmAnya,makRikayA,3
1229,cEwya,mAlinI,1
1230,kawi,kawiRu,2
1231,RodaSa,koRTakEH,3
1232,su,prasixXam,3
1233,sAhasa,kAryam,3
1234,sWUla,mUlAnAM,1
1235,upa,IkRaNaM,3
1236,pra,akRipaw,3
1237,na,sUyakAH,3
1238,xawwa,manA,1
1239,parama,ISvarAya,3
1240,xqRti,gawaH,3
1241,evaM,viXasya,1
1242,arcyA,krameNa,3
1243,nava,vAxanAw,3
1244,parameRTi,sAwmyawAM,3
1245,Oxaka,lAvaNikena,2
1246,saha,amAwyaH,1
1247,SoXana,arWAH,3
1248,sa,kuRTaM,1
1249,a,cyuwa,1
1250,pApa,karmA,1
1251,vi,niScaye,3
1252,wax,viRaye,3
1253,na,rasikaH,3
1254,eka,agraH,1
1255,waw,viXaM,1
1256,Xana,mUlam,1
1257,xqDa,niScayaH,1
1258,sawsafga,anurAgI,3
1259,SAnwa,pApmA,1
1260,guru,caraNayo,3
1261,viviXa,AkAraH,1
1262,inxriya,saMGAwaM,3
1263,Xarma,SIlaM,1
1264,awikrAnwa,rasaM,1
1265,xawwa,AspaxaH,1
1266,saFjAwa,pulakaH,1
1267,yaWa,ukwaM,0
1268,svarga,kAfkRiNaH,3
1269,SreRTin,sammuKam,3
1270,BakRya,kriyA,3
1271,labXa,AhuwiH,1
1272,pipAsA,nigrahAw,3
1273,pqSni,garBaH,1
1274,siwa,rakwena,2
1275,yaWA,cariwaM,0
1276,yaWA,joRaM,0
1277,kopa,aruNA,3
1278,yaWA,ukwAn,0
1279,bAlya,BARaNam,3
1280,mukwa,Bayena,1
1281,mURika,Sabxam,3
1282,sa,aRtAfgam,1
1283,na,karuNam,3
1284,a,rogiNam,1
1285,xvanxva,nqwyasya,3
1286,sWira,vikramANAM,1
1287,pakva,prAyam,3
1288,puNya,BAjaM,1
1289,loka,hiwAya,3
1290,sa,apagamAH,1
1291,mahA,vakwraH,1
1292,SyAmala,afga,3
1293,prawi,SruwayaH,3
1294,kim,AcAraH,1
1295,kqpa,AxayaH,1
1296,vicariwa,prAyA,1
1297,Xarma,garBeNa,1
1298,na,spqSyaH,3
1299,vi,garhaNAM,3
1300,jihma,akRAH,1
1301,svar,gawe,1
1302,na,XIram,3
1303,vIrya,URNaH,1
1304,Suci,vAsasaH,1
1305,jiwa,inxriyAw,1
1306,yama,suBaxrakam,2
1307,rakwa,kaNTinaH,1
1308,Svewa,vAhanaH,1
1309,sama,xarSanam,1
1310,pra,kampiwa,3
1311,pakva,sasyA,1
1312,a,viSvasweRu,3
1313,xivya,SakwiH,3
1314,nimagna,rUpAH,1
1315,SyAma,kaWiwA,3
1316,Baya,vihvalA,3
1317,mahaw,Awmani,1
1318,mahA,vegaH,1
1319,sa,KadgaH,1
1320,gamya,agamyaM,2
1321,sva,mAnasam,3
1322,niH,ASrayaH,3
1323,Arya,jana,3
1324,rakwA,ABam,1
1325,awikrAnwa,karmANam,1
1326,kAvya,Axi,1
1327,vi,srabXAH,3
1328,Baxra,mahilAM,3
1329,canxra,grahaNam,3
1330,puNya,karmaBiH,1
1331,waw,uBayam,3
1332,parivqwwa,newraH,1
1333,pUrvA,avasWAm,3
1334,prApwa,varwmA,1
1335,na,parimeyAM,3
1336,vixyA,hrAsaH,3
1337,wapo,niXim,1
1338,ewAvaw,anwareNa,3
1339,na,gocaram,3
1340,paFca,muKaH,1
1341,svarga,gamanAya,3
1342,niyawa,vrawaH,1
1343,sAXva,AcArAH,1
1344,xuRkqwa,sAravAn,1
1345,kqRiH,AxIni,1
1346,aswaM,gawe,3
1347,sam,akRam,0
1348,bqhaw,mUlaH,1
1349,su,Bage,3
1350,sa,parijanaH,1
1351,capala,upAnahO,3
1352,mUlya,BUwAm,3
1353,svAXyAya,yajFAH,1
1354,rediyo,praBawiRu,1
1355,evaM,vrawaH,1
1356,xEva,cinwakAH,3
1357,Agraha,pUrvakam,1
1358,a,Bexanam,3
1359,mqga,rAjEH,3
1360,Sara,sanXAnam,3
1361,viRa,prayogeNa,3
1362,su,xayiwAM,3
1363,samqxXa,vegAH,1
1364,xagXa,XAnyawaH,3
1365,prokRaNa,uxakEH,3
1366,sa,AnanxaM,1
1367,Baya,BIwaH,3
1368,a,vyapaxeSyaM,3
1369,sa,SaMkaH,1
1370,vikrIwa,BANda,1
1371,baxXa,niswriMSaH,1
1372,gawa,sanxehaH,1
1373,suKa,pravicAram,1
1374,XarmA,AwmanAM,1
1375,ava,mawaH,3
1376,nirUxXa,prawiBa,1
1377,vIra,vikramaH,3
1378,pUrva,jiwyA,3
1379,Agawa,saMBramA,1
1380,pracCanna,veRaH,1
1381,su,buxXim,3
1382,asWi,saMjFA,1
1383,yaWA,kaWaMciw,1
1384,viviXa,Awmakam,1
1385,a,paricArakam,1
1386,rAjya,mUlaH,1
1387,Cinna,saMSayaH,1
1388,prawi,kriyA,3
1389,prApwu,kAmaH,1
1390,a,saMhAryAH,3
1391,SacI,pawim,3
1392,gOrava,AxiRu,1
1393,su,vrawAH,1
1394,aBi,pUjya,3
1395,ganXa,guNA,1
1396,pra,xuRtAnAM,3
1397,sAXu,puruRaM,3
1398,hawa,puwrA,1
1399,nara,aXipAnAm,3
1400,sa,vaswram,1
1401,sa,manaskam,1
1402,xqDa,sOhqxam,1
1403,hqx,rogaH,3
1404,pAxa,sevAm,3
1405,jyeRTa,BaginI,3
1406,na,saw,3
1407,UrXva,bAhava,1
1408,Saswra,aswram,2
1409,Kadga,xIrGaH,3
1410,mahA,meruH,3
1411,soma,saMsWAsu,1
1412,a,nayaM,3
1413,Xanika,vareNyAH,3
1414,nakra,prawiBayaH,3
1415,mawi,hInaH,3
1416,ni,gqhya,3
1417,muxraNa,arWam,3
1418,karma,samuxBavaH,3
1419,jala,pAwram,3
1420,suKA,aBiyojye,3
1421,rakwa,varNaH,3
1422,xolA,aXigawasya,3
1423,sakwa,gawiH,1
1424,pIwa,vAsAH,1
1425,gaja,inxrAn,3
1426,waw,samananwaram,3
1427,mEtrika,parIkRAm,3
1428,su,nayAw,1
1429,gava,aSvaM,2
1430,gaNdakI,naxyAm,3
1431,eka,sWaM,3
1432,uRNa,peyasya,3
1433,BikRA,atanena,3
1434,pUrNa,vayaskaH,1
1435,SOrya,hInawA,3
1436,sa,kuSalaM,1
1437,xIrGa,AyuRyaM,3
1438,mahaw,rUpavawI,3
1439,sarva,xevAnAM,3
1440,ganwu,manAH,1
1441,BraRta,SrIH,1
1442,sarva,AmiRaM,3
1443,bahu,prayAsAH,3
1444,vyapagawa,sanxehAH,1
1445,hIna,karmaNaH,1
1446,saMrakwa,newram,1
1447,kqwa,sannAheRu,1
1448,su,xuHKaM,1
1449,bAbU,mahASayAH,3
1450,ugra,wapasAM,1
1451,wri,xaSAH,1
1452,xur,guNiwam,1
1453,vixura,paFcamAn,1
1454,Pala,hewukAH,1
1455,na,kRarANAm,3
1456,xawwa,vaswunaH,3
1457,nirawa,ciwwasya,1
1458,Bujaga,aSanaH,1
1459,ruxXa,kaNTAH,1
1460,waw,swowram,3
1461,a,rUkRam,3
1462,para,wIre,3
1463,a,sAXanAH,1
1464,afguRTa,anAmikena,2
1465,xarSana,SafkiwEH,3
1466,saM,sWiwe,3
1467,na,AhUwaH,3
1468,xvi,raxena,1
1469,qRaBa,kewave,1
1470,Baxra,veRAM,1
1471,sarpa,muKAw,3
1472,aBiReka,arWam,3
1473,AmanwraNa,nimanwraNam,2
1474,awi,jatilam,3
1475,viSvAmiwra,AxayaH,1
1476,ni,hawAH,3
1477,mahA,anuBAvAn,1
1478,Bagna,prAyA,1
1479,bahu,BAryaH,1
1480,mAwrA,AxayaH,1
1481,Rat,vqkRAn,2
1482,RodaSa,abjAni,3
1483,sa,hqxayE,1
1484,mAGIya,SIwasya,3
1485,samuxXarawA,vaxanam,1
1486,AxAna,praxAnamiReNa,2
1487,a,vyayaH,1
1488,nis,kAraNaM,3
1489,na,anwyam,1
1490,na,avarawam,3
1491,manxira,AByanware,3
1492,sa,XanyavAxam,1
1493,samIraNa,ullAsiwam,3
1494,aBi,nirIkRya,3
1495,narenxrasiMha,mahoxayena,3
1496,sa,kroXam,1
1497,parAkrama,SIla,1
1498,gAfgeya,pramuKAH,1
1499,vyAXi,saMpIdiwAH,3
1500,smiwa,muKI,1
1501,awi,virUpA,3
1502,AScarya,cakiwA,3
1503,kqwa,aFjaliputaH,1
1504,ahi,nakulam,2
1505,xvAxaSan,AwmAnam,1
1506,asWi,saFcayaH,3
1507,SiRta,aBisaMbanXAn,1
1508,prasanna,cewasaH,1
1509,vArwwA,AlApam,2
1510,bahu,snehaH,1
1511,hariwa,hariwena,3
1512,sawya,niRTawAm,1
1513,sWAyi,gqhaM,3
1514,na,saMBqwam,3
1515,mqw,BANdam,3
1516,BEkRa,caryAm,3
1517,nir,aMkuSa,1
1518,sawya,lokam,3
1519,yaWA,ukwena,0
1520,nAnA,ASrayAH,1
1521,A,jIvikAyA,3
1522,jagaw,hiwaM,3
1523,BANda,jIvanaH,1
1524,sa,niScayam,1
1525,Gora,aparAXaH,3
1526,svAgawa,Axi,1
1527,sa,maxAH,1
1528,vAma,akRI,1
1529,nir,Xanam,1
1530,wri,yugaM,3
1531,vi,jvaraH,1
1532,viSiRtawara,yonayaH,1
1533,mqwyu,vijayI,3
1534,kukura,aXipa,3
1535,xraRtu,kAmAH,1
1536,parapoxane,mahASaye,1
1537,SuBA,ASiRaH,3
1538,ORaXIya,sasyAni,3
1539,parA,jayam,3
1540,nir,apekRam,1
1541,bahu,araNyAH,1
1542,nAnA,BAvAn,0
1543,aXaH,muKaH,1
1544,sa,raBasam,1
1545,vEra,BAvam,3
1546,awi,SUrAn,3
1547,sawya,parAkramam_Bs,1
1548,xqDZa,niScaya,1
1549,nAnA,viXe,1
1550,sapwan,jihvam,1
1551,Xarma,SIlaH,1
1552,bqhaspawin,purogAn,1
1553,mOna,Bafgam,3
1554,avanamiwa,payoXarayA,1
1555,AXunika,jIvane,3
1556,sa,PalaM,1
1557,loka,sixZXayaH,3
1558,acinwya,AwmA,1
1559,muxriwa,muKa,3
1560,Bagna,ASAH,1
1561,anyonya,nikaRe,3
1562,sa,awiSayam,1
1563,na,mArge,3
1564,vi,kacaH,1
1565,nir,rviRaH,1
1566,Gora,rUpAH,1
1567,rakwavilipwa,muKapAxaH,3
1568,xAna,SIlAH,1
1569,sa,jAwIyena,1
1570,mahaw,pApam,3
1571,manxa,AxAraH,1
1572,su,niScalA,3
1573,vAwa,kaPAw,2
1574,Xamani,saMwawAH,1
1575,vi,KyAwaH,3
1576,awi,sWUlaH,3
1577,xqDa,mUlaH,1
1578,na,ASriwaH,3
1579,manxa,AxArAH,1
1580,samAvAsiwa,katakaH,1
1581,JAMfkAra,kolAhala,3
1582,cakra,pANinA,1
1583,saMcaya,SIlaH,1
1584,rAkRasI,rakRiwAm,3
1585,hqxaya,Avarja,3
1586,sarva,sUkRmaHn,3
1587,jiwa,inxriyawvam,1
1588,puruRa,qRaBAH,3
1589,kurun,jAfgalam,2
1590,vi,lifgam,3
1591,sapwa,viXaH,1
1592,miSra,mahABAgena,3
1593,saMBinna,varcAH,1
1594,visPAriwa,nayanA,1
1595,kArya,akArye,2
1596,mahA,vqkRA,1
1597,viXi,xqRtena,3
1598,vqwwi,karSiwaH,3
1599,vi,cakRaNaH,1
1600,go,mayam,3
1601,nqpa,arciwam,3
1602,SreRTin,mahoxayasya,3
1603,Canxo,gAwraH,1
1604,na,wanxriwaH,3
1605,xawwa,anukIrwiH,1
1606,nir,balam,1
1607,buxZXi,sawwamEH,3
1608,sa,kuSalO,1
1609,mahaw,arhANi,3
1610,piwwa,nimiwwAH,1
1611,nUwana,jalASayAnAm,3
1612,muKa,nAsikena,2
1613,kqwa,prawikriyaM,1
1614,nimna,muKa,1
1615,bIja,jAwam,3
1616,Svasura,puram,3
1617,bahu,vigrahaH,1
1618,sa,amlAM,1
1619,xeva,puruRam,3
1620,vexa,garBA,1
1621,su,vivikweRu,3
1622,sa,ullAsam,1
1623,su,laliwam,3
1624,pra,jvalaxBiH,3
1625,buxXi,pUrvaM,1
1626,xur,XiyaH,1
1627,na,CexyaH,3
1628,kaNdara,ABA,1
1629,vi,lInaH,3
1630,purohiwa,mahASaya,3
1631,XIra,ninaxam,1
1632,sa,praBa,1
1633,jala,arWam,3
1634,xurbala,SarIrAya,1
1635,kqwa,avakASa,1
1636,svarga,saxqSam,3
1637,Bakwa,janEH,3
1638,klinna,pANiH,1
1639,saw,safgena,3
1640,na,cinwyaM,3
1641,xur,upayogam,3
1642,xvi,viXO,1
1643,BAra,BUwaH,3
1644,maw,manasi,3
1645,muKa,xvArA,3
1646,guNa,aguNAn,2
1647,yaWA,svEra,0
1648,vinIwa,SokA,1
1649,gawa,wqRNasya,1
1650,sa,xayaM,1
1651,sa,ganXarvAn,1
1652,xur,AcaraNaM,3
1653,samAna,rUpe,3
1654,karma,niScayAH,1
1655,vAwyA,cakre,3
1656,SrI,prawiRTAm,3
1657,mqxu,vacasA,3
1658,kurun,swriyaH,3
1659,aBi,niveSa,3
1660,Xvaswa,XEryaH,1
1661,na,upamayA,1
1662,xaSan,aMSawaH,3
1663,na,mUlyaH,1
1664,vArwA,pallaviwam,3
1665,mohanaxeva,saxqSaH,3
1666,gawa,AyuH,1
1667,cakra,puRkariNyAm,3
1668,a,saMjFiwAH,3
1669,Arxra,pAxaH,1
1670,nIwi,kuSalaH,3
1671,na,AramBAw,3
1672,a,mAlI,3
1673,xqDa,mUlAH,1
1674,mawwa,vqRaBaH,3
1675,vAk,kRawam,3
1676,mahaw,kqpaNaH,3
1677,brAhmaNa,cCaxmA,1
1678,vexanA,vikqwam,3
1679,sa,aBinanxam,1
1680,palAyana,Axe,1
1681,ugra,AcArAH,1
1682,prahqRta,manasA,1
1683,aMSa,rUpeNa,3
1684,na,sakalam,3
1685,manaH,samAXO,3
1686,pApa,cewanaH,1
1687,BIma,kaTinAH,1
1688,pralaya,rAwri,3
1689,aRta,pAw,1
1690,nyaswa,hqxayA,1
1691,muKa,niHsqwEH,3
1692,nir,ASrayaH,1
1693,kqsara,oxanam,3
1694,XvaswA,gqhAH,1
1695,labXa,saMjFaH,1
1696,manxa,mAruwA,1
1697,wulya,rUpaH,1
1698,nqpa,maNdalasya,3
1699,rAkRasa,inxreNa,3
1700,vIrabAhu,viRaye,3
1701,Apanna,cewasaH,1
1702,sarva,GAwinIm,3
1703,saM,sqjan,3
1704,garBa,gqhaM,3
1705,yukwa,manasaM,1
1706,vAnaprasWa,prawiSraye,3
1707,yuva,rAjaH,3
1708,kAvya,AxiRu,1
1709,akRara,saMjFiwAH,1
1710,niR,PalaM,1
1711,sa,parivArasya,1
1712,sa,jIva,1
1713,a,kiFcanAyE,1
1714,xur,GatanAm,3
1715,saM,pramUDaM,3
1716,heman,mqgasya,3
1717,sva,manasi,3
1718,puruRa,SArxUla,3
1719,sPutiwa,hqxayA,1
1720,safgIwa,sampawwim,3
1721,maha,BAga,3
1722,rakwa,afgAH,1
1723,pra,mawwena,3
1724,BikRA,arjanAya,3
1725,sa,kapiH,1
1726,sanxawwa,pAyasAw,3
1727,yuXiRTiran,AxayaH,1
1728,wyakwa,XarmA,1
1729,SAnwa,AwmA,1
1730,pApa,mawiM,1
1731,wulya,lakRaNAH,1
1732,Xqwa,xaNdaH,1
1733,na,vyavasWA,3
1734,viviXa,xeSeByaH,3
1735,siMha,nAxaH,1
1736,upa,Axawwe,0
1737,svecCa,inxriyaH,1
1738,sa,sUpam,1
1739,nir,ASam,1
1740,pra,pIdya,3
1741,pUrva,viBavam,3
1742,su,sajjiwA,3
1743,vasuxeva,samBavasya,1
1744,krIdA,raseRu,3
1745,Xarma,AxyAH,1
1746,saM,praNunnA,3
1747,alpa,vayaskaH,1
1748,mawafga,puram,3
1749,BakRya,arWam,3
1750,xAna,xaNdaH,1
1751,kAma,AwmakAH,1
1752,BAruNda,saxqSAH,3
1753,eka,jAwO,3
1754,ganXarva,rAjasya,3
1755,maw,piwuH,3
1756,aXyAwma,cinwakAH,1
1757,rakRA,sEnikA,3
1758,sam,uwsukam,1
1759,anu,varwinaH,3
1760,cAruxawwa,nAmAnam,1
1761,sva,manwrEH,3
1762,purANa,paNdiwAnAm,3
1763,waw,uwwamaH,3
1764,xvi,xinam,3
1765,cArumawI,viRaya,1
1766,evaM,viXAni,1
1767,preryamANa,uwkaNTayA,1
1768,pUrva,apakAriNaH,3
1769,Asya,kaNTasya,2
1770,parixagXa,kAyA,1
1771,a,lAGave,3
1772,paNdiwa,buxXayaH,1
1773,rasa,cinwakEH,3
1774,kamala,mAlinI,1
1775,vinawA,AKyA,1
1776,a,viSeReNa,3
1777,xIna,muKI,1
1778,uBaya,viBraRtaH,3
1779,sa,xarpam,1
1780,sva,kAryAlaye,3
1781,karma,anugA,1
1782,jiwa,kroXaH,1
1783,yoga,lakRaNAni,3
1784,asmaw,nAmnA,1
1785,yukwi,yukwaM,3
1786,saw,gavEH,3
1787,loBa,samanviwAn,3
1788,viBAgIya,AcArya,3
1789,pavana,IriwAw,3
1790,hawa,ASaH,1
1791,nigqhIwa,inxriyasya,1
1792,SiRti,arWaM,3
1793,giri,xurgaM,3
1794,yaWA,nyAsam,0
1795,awi,nirbanXaM,0
1796,maxIya,ukwim,3
1797,prawi,gqhya,3
1798,rAja,purohiwaH,3
1799,xAra,kriyAyAm,3
1800,xIpwa,raSmiH,1
1801,Kadga,yuxXe,3
1802,vAri,carasya,3
1803,Xanya,BAgyaH,1
1804,manxa,BAgyawayA,3
1805,na,uwwamam,3
1806,mahA,arWaM,1
1807,sWira,mawi,1
1808,na,prayojanawayA,3
1809,pawra,aRtakam,3
1810,ORaXa,yogena,3
1811,katuka,uxayAH,1
1812,iha,sWAn,3
1813,na,arWe,1
1814,sa,prakampA,1
1815,BUri,wejasA,1
1816,na,XanyA,3
1817,sa,svaram,1
1818,avasiwa,prAye,3
1819,maruwwara,yAnAnAm,3
1820,ciwriwa,cewA,1
1821,na,samavewAH,3
1822,vimukwa,sanwApO,1
1823,su,saMciwAH,3
1824,para,ayaNam,3
1825,nir,mUlyam,1
1826,banXa,parikliRtaH,3
1827,aBi,rakRakena,3
1828,ku,ceRtayA,3
1829,vAgurA,Cannam,2
1830,yoXa,puruRANAm,3
1831,mqga,jAwAni,3
1832,pralaya,anwAm,1
1833,aSvanI,xevawAByAm,3
1834,aRta,puwrA,1
1835,jAwa,saMkopaH,3
1836,brAhmaNa,vacanAw,3
1837,aXika,vAram,3
1838,aBi,iRtasya,3
1839,manoramA,AKyA,1
1840,amiwa,wejasaH,1
1841,uwsanna,prajanAH,1
1842,wriH,japew,1
1843,sahasrayuga,paryanwam,1
1844,SUnya,AgArANi,1
1845,sAmpraxAyika,kalaha,3
1846,nq,pawim,3
1847,Sruwa,niXiH,1
1848,maXyama,koRTe,3
1849,gAnXAra,rAjaH,3
1850,xanwa,ulUKalinaH,1
1851,jaya,parAjayO,2
1852,vafga,praxeSe,3
1853,vimukwa,rogaH,1
1854,suKa,asuKam,2
1855,pAra,xarSinaH,1
1856,a,SuBaM,3
1857,sa,nirvexaM,1
1858,vijaya,uwsukAH,3
1859,wulya,xoRayoH,1
1860,sa,SeRaM,1
1861,SUla,Axikam,1
1862,na,asUya,3
1863,sva,rARtreRu,3
1864,vara,Anane,1
1865,vAna,prasWeRu,1
1866,a,XIraH,3
1867,piwq,saxqSaH,3
1868,aXi,AwmaM,0
1869,harmya,pqRTeRu,3
1870,a,coxiwaH,3
1871,revawI,nAmnI,1
1872,SAswra,ukwena,3
1873,sa,xuHKAH,1
1874,asu,anwaM,1
1875,nir,GqNa,1
1876,a,rajasaH,1
1877,na,param,3
1878,nAga,AxyAH,1
1879,eka,gqhyaH,1
1880,hrasva,pAxaH,1
1881,a,kurvawAm,3
1882,puNya,karmA,1
1883,asmaw,parAyaNaH,1
1884,xqDa,niScayA,1
1885,na,vyayasya,1
1886,UrXva,mUlam,1
1887,aXas,lokam,3
1888,manxa,maXuram,3
1889,vana,anware,3
1890,xaSaraWa,AwmajaH,3
1891,gaDavAla,grAme,3
1892,xeva,anucaram,3
1893,pari,ApwaH,3
1894,pawi,vrawAH,1
1895,a,BakRyasya,3
1896,mahA,XanAH,1
1897,mahaw,uraskaH,1
1898,pApa,karmiNaH,1
1899,sa,rujAByAM,1
1900,na,svasWaH,3
1901,aByafga,uwsAxanaM,2
1902,ananwa,guNiwam,3
1903,visPotaka,AxayaH,1
